GERMANY,GERMANY
GHANA,GHANA
GIBRALTAR,GIBRALTAR
GREECE,GREECE
GREENLAND,GREENLAND
GRENADA,GRENADA
GUADELOUPE,GUADELOUPE
GUAM,GUAM
GUATEMALA,GUATEMALA
GUERNSEY,GUERNSEY
GUINEA,GUINEA
GUYANA,GUYANA
HAITI,HAITI
HEARD AND MCDONALD ISLANDS,HEARD ISLAND AND MCDONALD ISLANDS
HONDURAS,HONDURAS
HONG KONG,HONG KONG
HOWLAND ISLAND,U.S. MINOR OUTLYING ISLANDS
HUNGARY,HUNGARY
ICELAND,ICELAND
INDIA,INDIA
INDONESIA,INDONESIA
IRAN,IRAN
IRAQ,IRAQ
IRELAND,IRELAND
ISLE OF MAN,ISLE OF MAN
ISRAEL,ISRAEL
ITALY,ITALY
JAMAICA,JAMAICA
JAPAN,JAPAN
JARVIS ISLAND,U.S. MINOR OUTLYING ISLANDS
JERSEY,JERSEY
JOHNSTON ATOLL,U.S. MINOR OUTLYING ISLANDS
JORDAN,HASHEMITE KINGDOM OF JORDAN
KAZAKHSTAN,KAZAKHSTAN
KENYA,KENYA
KINGMAN REEF,U.S. MINOR OUTLYING ISLANDS
KIRIBATI,KIRIBATI
KOSOVO,KOSOVO
KUWAIT,KUWAIT
KYRGYZSTAN,KYRGYZSTAN
LAOS,LAOS
LATVIA,LATVIA
LEBANON,LEBANON
LESOTHO,LESOTHO
LIBERIA,LIBERIA
LIBYA,LIBYA
LIECHTENSTEIN,LIECHTENSTEIN
LITHUANIA,REPUBLIC OF LITHUANIA
LUXEMBOURG,LUXEMBOURG
MACAU,MACAO
MACEDONIA,MACEDONIA
MADAGASCAR,MADAGASCAR
MALAWI,MALAWI
MALAYSIA,MALAYSIA
MALDIVES,MALDIVES
MALI,MALI
MALTA,MALTA
MARSHALL ISLANDS,MARSHALL ISLANDS
MARTINIQUE,MARTINIQUE
MAURITANIA,MAURITANIA
MAURITIUS,MAURITIUS
MAYOTTE,MAYOTTE
MEXICO,MEXICO
MICRONESIA,FEDERATED STATES OF MICRONESIA
MIDWAY ISLANDS,U.S. MINOR OUTLYING ISLANDS
MOLDOVA,REPUBLIC OF MOLDOVA
MONACO,MONACO
MONGOLIA,MONGOLIA
MONTENEGRO,MONTENEGRO
MONTSERRAT,MONTSERRAT
MOROCCO,MOROCCO
MOZAMBIQUE,MOZAMBIQUE
NAGORNO-KARABAKH,ARMENIA,AZERBAIJAN
NAMIBIA,NAMIBIA
NAURU,NAURU
NAVASSA ISLAND,U.S. MINOR OUTLYING ISLANDS
NEPAL,NEPAL
NETHERLANDS,NETHERLANDS
NEW CALEDONIA,NEW CALEDONIA
NICARAGUA,NICARAGUA
NIGER,NIGER
NIGERIA,NIGERIA
NIUE,NIUE
NORFOLK ISLAND,NORFOLK ISLAND
NORTHERN CYPRUS,CYPRUS
NORTHERN MARIANA ISLANDS,NORTHERN MARIANA ISLANDS
NORWAY,NORWAY
OMAN,OMAN
PAKISTAN,PAKISTAN
PALAU,PALAU
PALESTINE,PALESTINE
PALMYRA ATOLL,U.S. MINOR OUTLYING ISLANDS
PANAMA,PANAMA
PAPUA NEW GUINEA,PAPUA NEW GUINEA
PARAGUAY,PARAGUAY
PERU,PERU
PETER I ISLAND,ANTARCTICA,NORWAY
PHILIPPINES,PHILIPPINES
PITCAIRN,PITCAIRN ISLANDS
PITCAIRN ISLANDS,PITCAIRN ISLANDS
POLAND,POLAND
PORTUGAL,PORTUGAL
PRIDNESTROVIE (TRANSNISTRIA),REPUBLIC OF MOLDOVA
PUERTO RICO,PUERTO RICO
QATAR,QATAR
QUEEN MAUD LAND,ANTARCTICA,NORWAY
REUNION,FRANCE,REUNION
ROMANIA,ROMANIA
ROSS DEPENDENCY,NEW ZEALAND
RUSSIAN FEDERATION,RUSSIA
RWANDA,RWANDA
SAINT BARTHELEMY,SAINT-BARTHéLEMY
SAINT HELENA,SAINT HELENA
SAINT LUCIA,SAINT LUCIA
SAINT MARTIN (FRANCE),SAINT MARTIN
SAINT MARTIN (NETHERLANDS),SAINT MARTIN
SAINT PIERRE AND MIQUELON,SAINT PIERRE AND MIQUELON
SAINT VINCENT AND GRENADINES,SAINT VINCENT AND THE GRENADINES
SAMOA,SAMOA
SAN MARINO,SAN MARINO
SAO TOME AND PRINCIPE,SÃO TOMÉ AND PRÍNCIPE
SAUDI ARABIA,SAUDI ARABIA
SENEGAL,SENEGAL
SERBIA,SERBIA
SEYCHELLES,SEYCHELLES
SIERRA LEONE,SIERRA LEONE
SINGAPORE,SINGAPORE
SLOVAKIA,SLOVAKIA
SLOVENIA,SLOVENIA
SOLOMON ISLANDS,SOLOMON ISLANDS
SOMALILAND,SOMALIA
SOUTH AFRICA,SOUTH AFRICA
SOUTH GEORGIA & SOUTH SANDWICH ISLANDS,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
SOUTH KOREA,REPUBLIC OF KOREA
SOUTH OSSETIA,GEORGIA
SPAIN,SPAIN
SRI LANKA,SRI LANKA
SUDAN,SUDAN
SURINAME,SURINAME
SVALBARD AND JAN MAYEN ISLANDS,SVALBARD AND JAN MAYEN
SWAZILAND,SWAZILAND
SWEDEN,SWEDEN
SWITZERLAND,SWITZERLAND
SYRIA,SYRIA
TAIWAN,TAIWAN
TAJIKISTAN,TAJIKISTAN
TANZANIA,TANZANIA
THAILAND,THAILAND
TIMOR-LESTE,DEMOCRATIC REPUBLIC OF TIMOR-LESTE
TOGO,TOGO
TOKELAU,TOKELAU
TONGA,TONGA
TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO
TRISTAN DA CUNHA,BRITISH INDIAN OCEAN TERRITORY,SINGAPORE
TUNISIA,TUNISIA
TURKEY,TURKEY
TURKMENISTAN,TURKMENISTAN
TURKS AND CAICOS ISLANDS,TURKS AND CAICOS ISLANDS
TUVALU,TUVALU
UGANDA,UGANDA
UKRAINE,UKRAINE
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES
UNITED KINGDOM,UNITED KINGDOM
UNITED STATES MINOR OUTLYING ISLANDS,U.S. MINOR OUTLYING ISLANDS
UNITED STATES OF AMERICA,UNITED STATES
UNITED STATES VIRGIN ISLANDS,UNITED STATES
URUGUAY,URUGUAY
UZBEKISTAN,UZBEKISTAN
VANUATU,VANUATU
VATICAN,VATICAN CITY
VENEZUELA,VENEZUELA
VIETNAM,VIETNAM
WAKE ISLAND,U.S. MINOR OUTLYING ISLANDS
WALLIS AND FUTUNA ISLANDS,WALLIS AND FUTUNA
WESTERN SAHARAN,WESTERN SAHARA
YEMEN,YEMEN
ZAMBIA,ZAMBIA
ZIMBABWE,ZIMBABWE
