MAURITIAN,MUS,MAURITIUS,,,,,,,,,,,
MEXICAN,MEX,MEXICO,,,,,,,,,,,
MICRONESIAN,FSM,MICRONESIA,,,,,,,,,,,
MOLDOVAN,MDA,MOLDOVA,,,,,,,,,,,
MONACAN,MCO,MONACO,,,,,,,,,,,
MONGOLIAN,MNG,MONGOLIA,,,,,,,,,,,
MONTENEGRIN,MNE,MONTENEGRO,,,,,,,,,,,
MONTSERRATIAN,MSR,MONTSERRAT,,,,,,,,,,,
MOROCCAN,MAR,MOROCCO,,,,,,,,,,,
MOSOTHO,LSO,LESOTHO,,,,,,,,,,,
MOTSWANA,BWA,BOTSWANA,,,,,,,,,,,
MOZAMBICAN,MOZ,MOZAMBIQUE,,,,,,,,,,,
MYANMAR,MMR,BURMA,MYANMAR,,,,,,,,,,
NAGORNO-KARABAKH,AZE,AZERBAIJAN,,,,,,,,,,,
NAMIBIAN,NAM,NAMIBIA,,,,,,,,,,,
NAURUAN,NRU,NAURU,,,,,,,,,,,
NAVASSA ISLAND,,NAVASSA ISLAND,,,,,,,,,,,
NEPALESE,NPL,NEPAL,,,,,,,,,,,
NEW CALEDONIAN,NCL,NEW CALEDONIA,,,,,,,,,,,
NEW ZEALANDER,NZL,NEW ZEALAND,,,,,,,,,,,
NI-VANUATU,VUT,VANUATU,,,,,,,,,,,
NICARAGUAN,NIC,NICARAGUA,,,,,,,,,,,
NIGERIAN,NGA,NIGERIA,,,,,,,,,,,
NIGERIEN,NER,NIGER,,,,,,,,,,,
NIUEAN,NIU,NIUE,,,,,,,,,,,
NORFOLK ISLANDER,NFK,NORFOLK ISLAND,,,,,,,,,,,
NORTH KOREAN,PRK,KOREA,,,,,,,,,,,
NORWEGIAN,NOR,NORWAY,NORGE,,,,,,,,,,
OMANI,OMN,OMAN,,,,,,,,,,,
PAKISTANI,PAK,PAKISTAN,,,,,,,,,,,
PALAUAN,PLW,PALAU,,,,,,,,,,,
PALESTINIAN,PSE,PALESTINE,,,,,,,,,,,
PALMYRA ATOLL,,PALMYRA ATOLL,,,,,,,,,,,
PANAMANIAN,PAN,PANAMA,,,,,,,,,,,
PAPUA NEW GUINEAN,PNG,PAPUA NEW GUINEA,,,,,,,,,,,
PARAGUAYAN,PRY,PARAGUAY,,,,,,,,,,,
PERUVIAN,PER,PERU,,,,,,,,,,,
PITCAIRN ISLANDER,PCN,PITCAIRN,,,,,,,,,,,
POLISH,POL,POLAND,POLSKA,POLSKIE,,,,,,,,,
PORTUGUESE,PRT,PORTUGAL,PORTUGUESA,,,,,,,,,,
PRIDNESTROVIE (TRANSNISTRIA),MDA,MOLDOVA,,,,,,,,,,,
PUERTO RICAN,PRI,PUERTO RICO,,,,,,,,,,,
QATARI,QAT,QATAR,,,,,,,,,,,
ROMANIAN,ROU,ROMANIA,,,,,,,,,,,
RUSSIAN,RUS,RUSSIAN FEDERATION,,,,,,,,,,,
RWANDAN,RWA,RWANDA,,,,,,,,,,,
SAINT LUCIAN,LCA,SAINT LUCIA,,,,,,,,,,,
SAINT VINCENTIAN,VCT,SAINT VINCENT AND THE GRENADINES,,,,,,,,,,,
SAINT-PIERRAIS,SPM,SAINT PIERRE AND MIQUELON,,,,,,,,,,,
SALVADOREAN,SLV,EL SALVADOR,,,,,,,,,,,
SAMOAN,WSM,SAMOA,,,,,,,,,,,
SANMARINESE,SMR,SAN MARINO,,,,,,,,,,,
SAO TOMEAN,STP,SAO TOME AND PRINCIPE,,,,,,,,,,,
SAUDI ARABIAN,SAU,SAUDI ARABIA,,,,,,,,,,,
SENEGALESE,SEN,SENEGAL,,,,,,,,,,,
SERBIAN,SRB,SERBIA,,,,,,,,,,,
SEYCHELLOIS,SYC,SEYCHELLES,,,,,,,,,,,
SIERRA LEONEAN,SLE,SIERRA LEONE,,,,,,,,,,,
SINGAPOREAN,SGP,SINGAPORE,,,,,,,,,,,
SLOVAKIAN,SVK,SLOVAKIA,SLOVENIJA,SLOVENSKA,,,,,,,,,
SLOVENIAN,SVN,SLOVENIA,SLOVENIJA,,,,,,,,,,
SOLOMON ISLANDER,SLB,SOLOMON ISLANDS,,,,,,,,,,,
SOMALI,SOM,SOMALIA,,,,,,,,,,,
SOMALILAND,SOM,SOMALILAND,,,,,,,,,,,
SOUTH AFRICAN,ZAF,SOUTH AFRICA,SUID-AFRIKA,,,,,,,,,,
SOUTH KOREAN,KOR,KOREA,,,,,,,,,,,
SOUTH OSSETIA,GEO,GEORGIA,,,,,,,,,,,
SOUTH SUDANESE,SSD,SOUTH SUDAN,,,,,,,,,,,
SPANISH,ESP,SPAIN,,,,,,,,,,,
SRI LANKAN,LKA,SRI LANKA,,,,,,,,,,,
SUDANESE,SDN,SUDAN,,,,,,,,,,,
SURINAMER,SUR,SURINAME,,,,,,,,,,,
SVALBARD AND JAN MAYEN ISLANDS,SJM,SVALBARD AND JAN MAYEN,,,,,,,,,,,
SWAZI,SWZ,SWAZILAND,,,,,,,,,,,
SWEDISH,SWE,SWEDEN,,,,,,,,,,,
SWISS,CHE,SWITZERLAND,,,,,,,,,,,
SYRIAN,SYR,SYRIAN ARAB REPUBLIC,,,,,,,,,,,
TAIWANESE,TWN,TAIWAN,,,,,,,,,,,
TAJIKISTANI,TJK,TAJIKISTAN,,,,,,,,,,,
TANZANIAN,TZA,TANZANIA,,,,,,,,,,,
THAI,THA,THAILAND,,,,,,,,,,,
TIMORESE,TLS,TIMOR-LESTE,,,,,,,,,,,
TOGOLESE,TGO,TOGO,,,,,,,,,,,
TOKELAUAN,TKL,TOKELAU,,,,,,,,,,,
TONGAN,TON,TONGA,,,,,,,,,,,
TRINIDADIAN,TTO,TRINIDAD AND TOBAGO,TRINIDAD,,,,,,,,,,
TUNISIAN,TUN,TUNISIA,,,,,,,,,,,
TURKISH,TUR,TURKEY,TURKIYE,,,,,,,,,,
TURKMEN,TKM,TURKMENISTAN,,,,,,,,,,,
TUVALUAN,TUV,TUVALU,,,,,,,,,,,
U.S. TERRITORY,USA,UNITED STATES OF AMERICA,USA,,,,,,,,,,
UGANDAN,UGA,UGANDA,,,,,,,,,,,
UKRAINIAN,UKR,UKRAINE,,,,,,,,,,,
URUGUAYAN,URY,URUGUAY,,,,,,,,,,,
UZBEKISTANI,UZB,UZBEKISTAN,,,,,,,,,,,
VATICAN,VAT,VATICAN CITY STATE,,,,,,,,,,,
VENEZUELAN,VEN,VENEZUELA,,,,,,,,,,,
VIETNAMESE,VNM,VIETNAM,VIET NAM,,,,,,,,,,
WAKE ISLAND,,WAKE ISLAND,,,,,,,,,,,
WESTERN SAHARAN,ESH,WESTERN SAHARA,,,,,,,,,,,
YEMENI,YEM,YEMEN,,,,,,,,,,,
ZAMBIAN,ZMB,ZAMBIA,,,,,,,,,,,
ZIMBABWEAN,ZWE,ZIMBABWE,,,,,,,,,,,
